Simulation;Node;Local Preference;Next-hop;Path Length;Termination Time
1;393586;•;;0;0
1;131447;•;;0;0
1;262513;•;;0;0
1;393587;•;;0;0
1;131444;•;;0;0
1;262514;•;;0;0
1;375;•;;0;0
1;131445;•;;0;0
1;262515;•;;0;0
1;393585;•;;0;0
1;376;•;;0;0
1;262524;•;;0;0
1;393598;•;;0;0
1;377;•;;0;0
1;393599;•;;0;0
1;378;•;;0;0
1;131448;•;;0;0
1;262526;•;;0;0
1;262527;•;;0;0
1;131454;•;;0;0
1;262520;•;;0;0
1;393594;•;;0;0
1;131455;•;;0;0
1;262521;•;;0;0
1;393595;•;;0;0
1;262522;•;;0;0
1;393592;•;;0;0
1;383;•;;0;0
1;262523;•;;0;0
1;393593;•;;0;0
1;131458;•;;0;0
1;262532;•;;0;0
1;393606;•;;0;0
1;385;•;;0;0
1;131459;•;;0;0
1;262533;•;;0;0
1;393607;•;;0;0
1;386;•;;0;0
1;262534;•;;0;0
1;393604;•;;0;0
1;262535;•;;0;0
1;393605;•;;0;0
1;131462;•;;0;0
1;393602;•;;0;0
1;131463;•;;0;0
1;262529;•;;0;0
1;131460;•;;0;0
1;262530;•;;0;0
1;393600;•;;0;0
1;391;•;;0;0
1;262531;•;;0;0
1;393601;•;;0;0
1;262540;•;;0;0
1;393614;•;;0;0
1;131467;•;;0;0
1;262541;•;;0;0
1;393615;•;;0;0
1;131464;•;;0;0
1;262542;•;;0;0
1;393612;•;;0;0
1;262543;•;;0;0
1;393613;•;;0;0
1;262536;•;;0;0
1;131471;•;;0;0
1;262537;•;;0;0
1;393611;•;;0;0
1;398;•;;0;0
1;393608;•;;0;0
1;399;•;;0;0
1;262539;•;;0;0
1;400;•;;0;0
1;131474;•;;0;0
1;262548;•;;0;0
1;393622;•;;0;0
1;131475;•;;0;0
1;262549;•;;0;0
1;262550;•;;0;0
1;393620;•;;0;0
1;131473;•;;0;0
1;262551;•;;0;0
1;131478;•;;0;0
1;262544;•;;0;0
1;393618;•;;0;0
1;262545;•;;0;0
1;393619;•;;0;0
1;131476;•;;0;0
1;262546;•;;0;0
1;393616;•;;0;0
1;131477;•;;0;0
1;131482;•;;0;0
1;393630;•;;0;0
1;409;•;;0;0
1;262557;•;;0;0
1;393631;•;;0;0
1;131480;•;;0;0
1;262558;•;;0;0
1;393628;•;;0;0
1;262559;•;;0;0
1;393629;•;;0;0
1;131486;•;;0;0
1;262552;•;;0;0
1;393626;•;;0;0
1;262554;•;;0;0
1;393625;•;;0;0
1;393638;•;;0;0
1;262565;•;;0;0
1;393639;•;;0;0
1;262566;•;;0;0
1;393636;•;;0;0
1;262567;•;;0;0
1;262560;•;;0;0
1;131495;•;;0;0
1;262561;•;;0;0
1;393635;•;;0;0
1;262562;•;;0;0
1;393632;•;;0;0
1;393633;•;;0;0
1;262572;•;;0;0
1;262573;•;;0;0
1;393647;•;;0;0
1;262574;•;;0;0
1;427;•;;0;0
1;131497;•;;0;0
1;262575;•;;0;0
1;262568;•;;0;0
1;393642;•;;0;0
1;131503;•;;0;0
1;262569;•;;0;0
1;393643;•;;0;0
1;262570;•;;0;0
1;393640;•;;0;0
1;262571;•;;0;0
1;393641;•;;0;0
1;131506;•;;0;0
1;262581;•;;0;0
1;393655;•;;0;0
1;262582;•;;0;0
1;393652;•;;0;0
1;262583;•;;0;0
1;393653;•;;0;0
1;262576;•;;0;0
1;393650;•;;0;0
1;262577;•;;0;0
1;393651;•;;0;0
1;262578;•;;0;0
1;393648;•;;0;0
1;262579;•;;0;0
1;393649;•;;0;0
